Date,Traffic Count
2018-01-31,66328.7741935484
2018-02-28,72196.8214285714
2018-03-31,72137.2258064516
2018-04-30,71191.3333333333
2018-05-31,68958.5161290323
2018-06-30,71910.8666666667
2018-07-31,72864.1612903226
2018-08-31,72315.3225806452
2018-09-30,73641.1333333333
2018-10-31,71161.3225806452
2018-11-30,69257.0
2018-12-31,68943.4838709677
2019-01-31,66890.1612903226
2019-02-28,75442.8928571429
2019-03-31,74206.7419354839
2019-04-30,70631.2666666667
2019-05-31,69751.7741935484
2019-06-30,72619.8
2019-07-31,76849.8387096774
2019-08-31,74885.7096774194
2019-09-30,73140.8333333333
2019-10-31,71423.9677419355
2019-11-30,69179.8
2019-12-31,71099.0967741935
2020-01-31,71103.1290322581
2020-02-29,76203.1724137931
2020-03-31,50219.4516129032
2020-04-30,36944.5
2020-05-31,56666.2580645161
2020-06-30,67496.4666666667
2020-07-31,75780.3548387097
2020-08-31,75494.8387096774
2020-09-30,73975.6666666667
2020-10-31,69133.2903225807
2020-11-30,
2020-12-31,
2021-01-31,
2021-02-28,
2021-03-31,68063.0322580645
2021-04-30,68484.3333333333
2021-05-31,68015.9032258065
2021-06-30,72852.0666666667
2021-07-31,75738.9032258065
2021-08-31,77633.2258064516
2021-09-30,76503.6
2021-10-31,75678.0967741936
2021-11-30,71449.2666666667
2021-12-31,70032.3225806452
2022-01-31,68268.1290322581
2022-02-28,77062.4285714286
2022-03-31,75959.5806451613
2022-04-30,71405.6333333333
2022-05-31,71735.0322580645
2022-06-30,73673.9
2022-07-31,76392.1290322581
2022-08-31,73807.1290322581
2022-09-30,73783.6666666667
2022-10-31,73047.3225806452
2022-11-30,70738.0
2022-12-31,71519.7096774194
2023-01-31,68648.0967741935
2023-02-28,77942.8214285714
2023-03-31,74160.935483871
2023-04-30,71187.0666666667
2023-05-31,72211.0
2023-06-30,76084.5
2023-07-31,77367.2580645161
2023-08-31,75653.9677419355
2023-09-30,76600.7333333333
2023-10-31,74044.9677419355
2023-11-30,70337.7
2023-12-31,73903.1290322581
